psi_1,psi_2,y2
0.0211854,0.0211854,-0.529636
0.0208,0.0208,-0.52
0.0204175,0.0204175,-0.510436
0.0200378,0.0200378,-0.500945
0.0196611,0.0196611,-0.491526
0.0192873,0.0192873,-0.482181
0.0189164,0.0189164,-0.47291
0.0185485,0.0185485,-0.463713
0.0181837,0.0181837,-0.454592
0.0178218,0.0178218,-0.445545
0.017463,0.017463,-0.436575
0.0171072,0.0171072,-0.42768
0.0167545,0.0167545,-0.418862
0.0164049,0.0164049,-0.410122
0.0160584,0.0160584,-0.40146
0.015715,0.015715,-0.392876
0.0153748,0.0153748,-0.38437
0.0150378,0.0150378,-0.375944
0.0147039,0.0147039,-0.367597
0.0143732,0.0143732,-0.359331
0.0140458,0.0140458,-0.351145
0.0137216,0.0137216,-0.34304
0.0134007,0.0134007,-0.335017
0.013083,0.013083,-0.327076
0.0127687,0.0127687,-0.319217
0.0124577,0.0124577,-0.311442
0.01215,0.01215,-0.30375
0.0118457,0.0118457,-0.296142
0.0115448,0.0115448,-0.288619
0.0112472,0.0112472,-0.28118
0.0109531,0.0109531,-0.273827
0.0106624,0.0106624,-0.26656
0.0103752,0.0103752,-0.259379
0.0100914,0.0100914,-0.252286
0.00981116,0.00981116,-0.245279
0.00953443,0.00953443,-0.238361
0.0092612,0.0092612,-0.23153
0.00899153,0.00899153,-0.224788
0.00872546,0.00872546,-0.218136
0.00846294,0.00846294,-0.211574
0.00820407,0.00820407,-0.205102
0.0079488,0.0079488,-0.19872
0.00769719,0.00769719,-0.19243
0.00744924,0.00744924,-0.186231
0.00720498,0.00720498,-0.180125
0.00696443,0.00696443,-0.174111
0.0067276,0.0067276,-0.16819
0.00649451,0.00649451,-0.162363
0.0062652,0.0062652,-0.15663
0.00603965,0.00603965,-0.150991
0.00581792,0.00581792,-0.145448
0.0056,0.0056,-0.14
0.00538593,0.00538593,-0.134648
0.00517571,0.00517571,-0.129393
0.00496937,0.00496937,-0.124234
0.00476693,0.00476693,-0.119173
0.0045684,0.0045684,-0.11421
0.00437381,0.00437381,-0.109345
0.00418319,0.00418319,-0.10458
0.00399652,0.00399652,-0.0999129
0.00381386,0.00381386,-0.0953465
0.0036352,0.0036352,-0.0908801
0.00346057,0.00346057,-0.0865144
0.00329001,0.00329001,-0.0822503
0.00312351,0.00312351,-0.0780878
0.0029611,0.0029611,-0.0740276
0.0028028,0.0028028,-0.07007
0.00264863,0.00264863,-0.0662157
0.0024986,0.0024986,-0.062465
0.00235274,0.00235274,-0.0588186
0.00221107,0.00221107,-0.0552767
0.0020736,0.0020736,-0.0518401
0.00194035,0.00194035,-0.0485088
0.00181136,0.00181136,-0.0452839
0.00168662,0.00168662,-0.0421654
0.00156616,0.00156616,-0.039154
0.00145,0.00145,-0.03625
0.00133817,0.00133817,-0.0334541
0.00123067,0.00123067,-0.0307666
0.00112753,0.00112753,-0.0281882
0.00102876,0.00102876,-0.0257191
0.000934404,0.000934404,-0.0233601
0.000844451,0.000844451,-0.0211113
0.000758941,0.000758941,-0.0189735
0.00067788,0.00067788,-0.016947
0.000601295,0.000601295,-0.0150324
0.000529201,0.000529201,-0.01323
0.000461621,0.000461621,-0.0115405
0.00039857,0.00039857,-0.00996426
0.00034007,0.00034007,-0.00850175
0.000286141,0.000286141,-0.00715353
0.0002368,0.0002368,-0.00591999
0.000192067,0.000192067,-0.00480168
0.000151961,0.000151961,-0.00379903
0.000116503,0.000116503,-0.00291258
8.57083e-05,8.57083e-05,-0.00214271
5.96006e-05,5.96006e-05,-0.00149001
3.81954e-05,3.81954e-05,-0.000954884
2.15139e-05,2.15139e-05,-0.000537848
9.57444e-06,9.57444e-06,-0.000239361
2.39688e-06,2.39688e-06,-5.9922e-05
0,0,0
