psi_1,psi_2,y2,psi_1d,psi_2d,y2d,action
0.0,0.0,-6.307812761304258e-17,-1.6857456095089938e-16,-4.7965681589247274e-18,-2.4639893598844746e-16,4.809234492336792e-16
0.0,0.0,-6.504931910095017e-17,-1.6857456095089909e-16,-4.796568158924719e-18,-2.4639893598844746e-16,4.809234492336783e-16
0.0,0.0,-6.702051058885776e-17,-1.8543201704598998e-16,-5.2762249748172186e-18,-2.4639893598844746e-16,5.29015794157049e-16
0.0,0.0,-6.899170207676534e-17,-1.8543201704598966e-16,-5.276224974817209e-18,-2.4639893598844746e-16,5.290157941570481e-16
0.0,0.0,-7.096289356467293e-17,-1.8543201704598932e-16,-5.2762249748172e-18,-2.4639893598844746e-16,5.290157941570471e-16
0.0,0.0,-7.293408505258051e-17,-2.0228947314108022e-16,-5.7558817907097e-18,-2.4639893598844746e-16,5.771081390804178e-16
0.0,0.0,-7.49052765404881e-17,-2.0228947314107987e-16,-5.75588179070969e-18,-2.4639893598844746e-16,5.771081390804168e-16
0.0,0.0,-7.687646802839569e-17,-2.0228947314107957e-16,-5.755881790709681e-18,-2.4639893598844746e-16,5.771081390804159e-16
0.0,0.0,-7.884765951630327e-17,-2.191469292361693e-16,-6.235538606602148e-18,-2.4639893598844746e-16,6.252004840037833e-16
0.0,0.0,-8.081885100421086e-17,-2.1914692923616894e-16,-6.235538606602138e-18,-2.4639893598844746e-16,6.252004840037823e-16
0.0,0.0,-8.279004249211844e-17,-2.1914692923616865e-16,-6.23553860660213e-18,-2.4639893598844746e-16,6.252004840037814e-16
0.0,0.0,-8.476123398002603e-17,-2.360043853312595e-16,-6.715195422494628e-18,-2.4639893598844746e-16,6.73292828927152e-16
0.0,0.0,-8.673242546793362e-17,-2.3600438533125925e-16,-6.715195422494621e-18,-2.4639893598844746e-16,6.732928289271512e-16
0.0,0.0,-8.87036169558412e-17,-2.360043853312589e-16,-6.715195422494611e-18,-2.4639893598844746e-16,6.732928289271503e-16
0.0,0.0,-9.067480844374879e-17,-2.3600438533125856e-16,-6.715195422494602e-18,-2.4639893598844746e-16,6.732928289271493e-16
0.0,0.0,-9.264599993165637e-17,-2.5286184142634946e-16,-7.194852238387102e-18,-2.4639893598844746e-16,7.2138517385052e-16
0.0,0.0,-9.461719141956396e-17,-2.5286184142634916e-16,-7.194852238387093e-18,-2.4639893598844746e-16,7.213851738505191e-16
0.0,0.0,-9.658838290747155e-17,-2.528618414263488e-16,-7.194852238387084e-18,-2.4639893598844746e-16,7.213851738505181e-16
0.0,0.0,-9.855957439537913e-17,-2.697192975214397e-16,-7.674509054279583e-18,-2.4639893598844746e-16,7.694775187738888e-16
0.0,0.0,-1.0053076588328672e-16,-2.697192975214394e-16,-7.674509054279575e-18,-2.4639893598844746e-16,7.694775187738879e-16
0.0,0.0,-1.025019573711943e-16,-2.697192975214391e-16,-7.674509054279567e-18,-2.4639893598844746e-16,7.69477518773887e-16
0.0,0.0,-1.0447314885910189e-16,-2.8657675361653e-16,-8.154165870172066e-18,-2.4639893598844746e-16,8.175698636972577e-16
0.0,0.0,-1.0644434034700948e-16,-2.8657675361652967e-16,-8.154165870172057e-18,-2.4639893598844746e-16,8.175698636972568e-16
0.0,0.0,-1.0841553183491706e-16,-2.8657675361652933e-16,-8.154165870172048e-18,-2.4639893598844746e-16,8.175698636972558e-16
0.0,0.0,-1.1038672332282465e-16,-3.034342097116191e-16,-8.633822686064514e-18,-2.4639893598844746e-16,8.656622086206231e-16
0.0,0.0,-1.1235791481073222e-16,-3.0343420971161875e-16,-8.633822686064505e-18,-2.4639893598844746e-16,8.656622086206221e-16
0.0,0.0,-1.143291062986398e-16,-3.034342097116184e-16,-8.633822686064496e-18,-2.4639893598844746e-16,8.656622086206211e-16
0.0,0.0,-1.1630029778654737e-16,-3.202916658067092e-16,-9.113479501956993e-18,-2.4639893598844746e-16,9.137545535439916e-16
0.0,0.0,-1.1827148927445494e-16,-3.2029166580670885e-16,-9.113479501956982e-18,-2.4639893598844746e-16,9.137545535439906e-16
0.0,0.0,-1.2024268076236252e-16,-3.202916658067085e-16,-9.113479501956973e-18,-2.4639893598844746e-16,9.137545535439896e-16
0.0,0.0,-1.222138722502701e-16,-3.371491219017994e-16,-9.593136317849473e-18,-2.4639893598844746e-16,9.618468984673602e-16
0.0,0.0,-1.2418506373817767e-16,-3.3714912190179906e-16,-9.593136317849463e-18,-2.4639893598844746e-16,9.618468984673592e-16
0.0,0.0,-1.2615625522608524e-16,-3.371491219017986e-16,-9.59313631784945e-18,-2.4639893598844746e-16,9.61846898467358e-16
0.0,0.0,-1.2812744671399281e-16,-3.540065779968895e-16,-1.007279313374195e-17,-2.4639893598844746e-16,1.0099392433907286e-15
0.0,0.0,-1.3009863820190039e-16,-3.540065779968892e-16,-1.0072793133741941e-17,-2.4639893598844746e-16,1.0099392433907278e-15
0.0,0.0,-1.3206982968980796e-16,-3.5400657799688887e-16,-1.0072793133741932e-17,-2.4639893598844746e-16,1.0099392433907268e-15
0.0,0.0,-1.3404102117771553e-16,-3.7086403409197977e-16,-1.0552449949634433e-17,-2.4639893598844746e-16,1.0580315883140974e-15
0.0,0.0,-1.360122126656231e-16,-3.7086403409197933e-16,-1.0552449949634419e-17,-2.4639893598844746e-16,1.0580315883140962e-15
0.0,0.0,-1.3798340415353068e-16,-3.70864034091979e-16,-1.055244994963441e-17,-2.4639893598844746e-16,1.0580315883140953e-15
0.0,0.0,-1.3995459564143826e-16,-3.877214901870687e-16,-1.1032106765526876e-17,-2.4639893598844746e-16,1.1061239332374625e-15
0.0,0.0,-1.4192578712934583e-16,-3.8772149018706825e-16,-1.1032106765526864e-17,-2.4639893598844746e-16,1.1061239332374613e-15
0.0,0.0,-1.438969786172534e-16,-3.877214901870679e-16,-1.1032106765526853e-17,-2.4639893598844746e-16,1.1061239332374603e-15
0.0,0.0,-1.4586817010516098e-16,-4.045789462821588e-16,-1.1511763581419353e-17,-2.4639893598844746e-16,1.1542162781608309e-15
0.0,0.0,-1.4783936159306855e-16,-4.0457894628215846e-16,-1.1511763581419344e-17,-2.4639893598844746e-16,1.1542162781608299e-15
0.0,0.0,-1.4981055308097612e-16,-4.0457894628215816e-16,-1.1511763581419335e-17,-2.4639893598844746e-16,1.1542162781608291e-15
0.0,0.0,-1.517817445688837e-16,-4.0457894628215777e-16,-1.1511763581419324e-17,-2.4639893598844746e-16,1.154216278160828e-15
0.0,0.0,-1.5375293605679127e-16,-4.214364023772486e-16,-1.1991420397311823e-17,-2.4639893598844746e-16,1.2023086230841985e-15
0.0,0.0,-1.5572412754469885e-16,-4.2143640237724827e-16,-1.1991420397311812e-17,-2.4639893598844746e-16,1.2023086230841975e-15
