psi_1,psi_2,y2
3.04162,2.41631,14.7354
3.0239,2.40671,14.6501
3.0198,2.39744,14.5623
3.00326,2.3879,14.4749
2.99927,2.37866,14.3851
2.99456,2.36933,14.2949
2.97765,2.35975,14.2051
2.97356,2.35047,14.1129
2.957,2.34091,14.0213
2.95299,2.33166,13.9272
2.94826,2.32233,13.8328
2.93496,2.3128,13.7386
2.92811,2.30342,13.6427
2.91044,2.29382,13.5472
2.90638,2.28456,13.449
2.90162,2.27522,13.3505
2.88829,2.26568,13.2523
2.88142,2.2563,13.1525
2.86373,2.2467,13.053
2.85966,2.23743,12.951
2.84315,2.22789,12.8497
2.83918,2.21865,12.746
2.8345,2.20933,12.642
2.82125,2.1998,12.5385
2.81445,2.19044,12.4334
2.79685,2.18085,12.3288
2.79282,2.1716,12.2215
2.7881,2.16227,12.1141
2.77482,2.15274,12.0072
2.76799,2.14336,11.8986
2.75035,2.13377,11.7907
2.74631,2.12451,11.6801
2.74157,2.11517,11.5694
2.72826,2.10563,11.4593
2.72141,2.09624,11.3476
2.70374,2.08664,11.2366
2.69968,2.07738,11.123
2.69492,2.06803,11.0092
2.68158,2.05849,10.8962
2.67471,2.04909,10.7815
2.66074,2.03955,10.6673
2.65385,2.03019,10.5514
2.63625,2.02061,10.4364
2.63224,2.01136,10.3186
2.62755,2.00203,10.2009
2.6143,1.9925,10.0839
2.60749,1.98313,9.96548
2.58988,1.97354,9.84797
2.58585,1.96429,9.72774
2.58114,1.95495,9.6076
2.56785,1.94541,9.48838
2.56102,1.93603,9.36764
2.54338,1.92644,9.24793
2.53933,1.91717,9.12551
2.53459,1.90783,9.00324
2.52127,1.89828,8.88197
2.51442,1.88889,8.75922
2.50046,1.87935,8.63714
2.49359,1.86999,8.51345
2.48801,1.86061,8.38949
2.47438,1.85105,8.26648
2.46747,1.84166,8.14196
2.45348,1.83211,8.01818
2.4466,1.82274,7.89284
2.42899,1.81316,7.76868
2.42498,1.80391,7.64187
2.42029,1.79459,7.51536
2.40704,1.78505,7.39003
2.40023,1.77568,7.26332
2.38633,1.76615,7.13746
2.3795,1.7568,7.01009
2.37397,1.74743,6.88259
2.36039,1.73789,6.7562
2.35352,1.7285,6.62842
2.33958,1.71897,6.50154
2.33274,1.70961,6.3732
2.32718,1.70024,6.24478
2.31358,1.69069,6.11754
2.30669,1.6813,5.98896
2.29273,1.67176,5.86133
2.28587,1.6624,5.7323
2.26829,1.65282,5.60469
2.2643,1.64358,5.47457
2.25963,1.63425,5.34495
2.2464,1.62473,5.21674
2.23961,1.61536,5.08732
2.22574,1.60583,4.95896
2.21893,1.59648,4.82928
2.21341,1.58712,4.69965
2.19986,1.57758,4.57136
2.19301,1.5682,4.44185
2.17909,1.55867,4.31345
2.17226,1.54931,4.18378
2.16672,1.53995,4.05422
2.15313,1.5304,3.92605
2.14626,1.52101,3.79672
2.13232,1.51147,3.66855
2.12547,1.50211,3.53917
2.10791,1.49254,3.41141
2.10393,1.48329,3.28134
2.09927,1.47397,3.15196
2.08606,1.46445,3.02418
2.07928,1.45508,2.8954
2.06542,1.44555,2.76786
2.05862,1.4362,2.6392
2.05311,1.42685,2.5108
2.03957,1.4173,2.38391
2.03273,1.40792,2.25602
2.01882,1.39839,2.12941
2.012,1.38904,2.00175
2.00647,1.37967,1.87439
1.9929,1.37012,1.7486
1.98603,1.36073,1.62186
1.9721,1.35119,1.49646
1.96525,1.34183,1.37006
1.9597,1.33246,1.24402
1.9461,1.3229,1.11959
1.93921,1.31351,0.994279
1.92525,1.30397,0.870351
1.91839,1.2946,0.745495
1.90452,1.28508,0.622027
1.89773,1.27574,0.49767
1.89224,1.26639,0.373749
1.87872,1.25685,0.251488
1.8719,1.24747,0.128458
1.85801,1.23795,0.00686574
1.85121,1.2286,-0.115542
1.84569,1.21923,-0.237462
1.83214,1.20969,-0.357688
1.82529,1.20031,-0.478613
1.81137,1.19077,-0.598064
1.80455,1.18141,-0.71826
1.79901,1.17205,-0.837916
1.78542,1.16249,-0.955848
1.77855,1.1531,-1.07441
1.76461,1.14356,-1.19146
1.75776,1.1342,-1.30919
1.74391,1.12469,-1.4254
1.73713,1.11535,-1.54225
1.73166,1.106,-1.65848
1.71815,1.09646,-1.77295
1.71134,1.08709,-1.88794
1.69747,1.07756,-2.00138
1.69067,1.06822,-2.11537
1.68517,1.05886,-2.2287
1.67163,1.04931,-2.34025
1.66479,1.03993,-2.45224
1.65089,1.0304,-2.56266
1.64407,1.02104,-2.67355
1.63854,1.01168,-2.78374
1.62497,1.00213,-2.89213
1.61811,0.992739,-3.00088
1.60417,0.9832,-3.10803
1.59733,0.973837,-3.21559
1.59178,0.964463,-3.32239
1.57818,0.954905,-3.42739
1.5713,0.945512,-3.53267
1.55733,0.935968,-3.63633
1.55047,0.926599,-3.74032
1.5366,0.91708,-3.8427
1.52982,0.907737,-3.94535
1.52433,0.898383,-4.04719
1.51081,0.888843,-4.14721
1.50399,0.879468,-4.2474
1.4901,0.869941,-4.34595
1.48329,0.860589,-4.4447
1.47778,0.851226,-4.5426
1.46423,0.841679,-4.63867
1.45738,0.832295,-4.73482
1.44346,0.82276,-4.82934
1.43663,0.813401,-4.92397
1.4311,0.804031,-5.01771
1.41751,0.794477,-5.10963
1.41064,0.785087,-5.20155
1.39669,0.775545,-5.29183
1.38984,0.76618,-5.38214
1.37599,0.756664,-5.47081
1.36921,0.747323,-5.55948
1.34117,0.737588,-5.64534
1.31313,0.728084,-5.7315
1.28509,0.718817,-5.81795
1.25705,0.709794,-5.90464
1.229,0.701021,-5.99157
1.20096,0.692505,-6.07871
1.17292,0.684253,-6.16605
1.14488,0.67627,-6.25355
1.11684,0.668566,-6.34121
1.0888,0.661145,-6.42901
1.06075,0.654016,-6.51693
1.03271,0.647186,-6.60496
1.00467,0.640663,-6.69309
0.976628,0.634453,-6.78131
0.948587,0.628564,-6.8696
0.920545,0.623004,-6.95797
0.892503,0.617781,-7.0464
0.864461,0.612902,-7.13488
0.836419,0.608376,-7.22342
0.808378,0.60421,-7.31201
0.780336,0.600412,-7.40063
0.752294,0.59699,-7.4893
0.724252,0.593952,-7.57801
0.69621,0.591306,-7.66675
0.668169,0.58906,-7.75553
0.640127,0.587222,-7.84433
0.612085,0.585799,-7.93316
0.584043,0.584799,-8.02201
0.556001,0.58423,-8.11087
0.527959,0.584098,-8.19975
0.499918,0.584411,-8.28862
0.471876,0.585176,-8.37747
0.443834,0.586398,-8.4663
0.415792,0.588086,-8.55507
0.38775,0.590243,-8.64378
0.359709,0.592876,-8.73239
0.331667,0.59599,-8.82088
0.303625,0.599589,-8.90919
0.275583,0.603677,-8.9973
0.247541,0.608258,-9.08515
0.247957,0.613881,-9.17144
0.253301,0.619677,-9.25805
0.260451,0.625515,-9.34527
0.265311,0.631289,-9.43335
0.272713,0.637126,-9.52198
0.281006,0.642957,-9.61133
0.28664,0.6487,-9.70158
0.294743,0.654493,-9.7924
0.300643,0.660208,-9.88409
0.309142,0.665971,-9.97635
0.315427,0.671651,-10.0695
0.324319,0.677372,-10.1632
0.330948,0.683003,-10.2578
0.337145,0.688609,-10.3531
0.343395,0.694209,-10.4491
0.349834,0.699802,-10.5457
0.359555,0.705447,-10.6429
0.367088,0.710988,-10.7409
0.374191,0.716491,-10.8397
0.381308,0.721971,-10.9391
0.388556,0.727428,-11.0393
0.393011,0.732805,-11.1402
0.399825,0.738241,-11.2416
0.420315,0.743925,-11.3431
0.448357,0.749538,-11.4454
0.476398,0.754816,-11.5492
0.50444,0.759751,-11.6544
0.532482,0.764334,-11.7609
0.560524,0.768559,-11.8686
0.588566,0.772417,-11.9775
0.616607,0.7759,-12.0874
0.644649,0.779,-12.1983
0.672691,0.781709,-12.31
0.700733,0.78402,-12.4224
0.728775,0.785925,-12.5355
0.756817,0.787415,-12.6491
0.784858,0.788483,-12.7631
0.8129,0.789123,-12.8774
0.840942,0.789325,-12.9917
