x0,x1,x2,u
3.85671,3.16653,17.0752,0.153714
3.84077,3.15613,17.0783,0.517054
3.83083,3.14592,17.08,0.340503
3.82849,3.13588,17.0806,0.0833197
3.81323,3.12546,17.0799,0.498512
3.80883,3.11534,17.0779,0.155449
3.79207,3.10488,17.0747,0.538745
3.7852,3.09471,17.0702,0.240182
3.78192,3.08458,17.0644,0.116542
3.7652,3.07407,17.0576,0.537504
3.76061,3.0639,17.0493,0.162547
3.74368,3.0534,17.0399,0.542986
3.73911,3.04324,17.0291,0.161603
3.72231,3.03275,17.0172,0.539903
3.7154,3.02255,17.0039,0.241546
3.71215,3.01239,16.9893,0.11537
3.6955,3.00186,16.9738,0.535758
3.69088,2.99166,16.9567,0.163253
3.67398,2.98113,16.9387,0.542511
3.66698,2.97089,16.9192,0.244354
3.66295,2.96067,16.8983,0.143037
3.65056,2.9502,16.8766,0.415862
3.64421,2.93989,16.8534,0.222659
3.62518,2.92925,16.8296,0.59622
3.61798,2.91897,16.8038,0.251561
3.61383,2.90871,16.7768,0.146693
3.60135,2.89821,16.749,0.418894
3.59414,2.88784,16.7198,0.251764
3.57978,2.87728,16.6897,0.473233
3.57043,2.86687,16.6581,0.32181
3.56498,2.85654,16.6251,0.191711
3.55164,2.84597,16.5914,0.444274
3.54418,2.83557,16.5561,0.259899
3.52965,2.82498,16.5201,0.478052
3.51957,2.81453,16.4825,0.345057
3.51699,2.80424,16.4433,0.0918185
3.50195,2.79359,16.4039,0.492362
3.49394,2.78314,16.3628,0.278117
3.47905,2.77252,16.321,0.488274
3.46882,2.76204,16.2775,0.349612
3.46617,2.75173,16.2323,0.0942758
3.45104,2.74106,16.1872,0.494734
3.44296,2.73059,16.1402,0.280599
3.42796,2.71994,16.0927,0.491058
3.42011,2.7095,16.0432,0.273011
3.40536,2.69888,15.9933,0.48442
3.39512,2.68841,15.9417,0.350021
3.39249,2.6781,15.8883,0.0936172
3.37742,2.66743,15.8352,0.493115
3.36931,2.65696,15.7802,0.28144
3.3543,2.64631,15.7248,0.491426
3.34393,2.63582,15.6676,0.35424
3.34122,2.62549,15.6086,0.0963565
3.32527,2.61478,15.5501,0.517035
3.32027,2.60437,15.4893,0.176579
3.30335,2.59364,15.4288,0.542824
3.29242,2.58312,15.3662,0.371915
3.28948,2.57277,15.3018,0.104485
3.27332,2.56205,15.2381,0.522749
3.26823,2.55163,15.1719,0.179502
3.2512,2.54089,15.1061,0.545859
3.24016,2.53035,15.0383,0.375071
3.23715,2.52,14.9686,0.106724
3.2209,2.50927,14.8998,0.525347
3.21574,2.49884,14.8283,0.18183
3.19777,2.48808,14.7576,0.569949
3.1899,2.47762,14.6843,0.273673
3.186,2.46722,14.6097,0.138145
3.16817,2.45643,14.5362,0.566392
3.16277,2.446,14.4597,0.190261
3.14458,2.43524,14.3841,0.575316
3.1392,2.42484,14.3055,0.189567
3.12199,2.41412,14.2278,0.550567
3.11079,2.40361,14.1479,0.379708
3.10774,2.39328,14.0659,0.108423
3.09145,2.38258,13.9853,0.526256
3.08623,2.37219,13.9019,0.184232
3.06818,2.36146,13.8196,0.571894
3.06019,2.35103,13.7346,0.277589
3.05626,2.34066,13.6483,0.139299
3.03838,2.32992,13.5635,0.567566
3.0329,2.31952,13.4756,0.193083
3.01462,2.3088,13.389,0.577675
3.00654,2.29838,13.2995,0.280483
3.00255,2.28802,13.2087,0.141162
2.98458,2.27728,13.1197,0.569997
2.97904,2.2669,13.0274,0.195061
2.96066,2.25619,12.9366,0.580126
2.95251,2.24578,12.8428,0.282816
2.94768,2.23542,12.748,0.170591
2.93422,2.22481,12.6541,0.447463
2.92699,2.21437,12.5582,0.252425
2.90628,2.2036,12.464,0.636085
2.90058,2.19327,12.3658,0.200573
2.88218,2.18261,12.2692,0.580791
2.87402,2.17226,12.1696,0.283108
2.87004,2.16198,12.0689,0.140953
2.85209,2.15132,11.9702,0.569551
2.84651,2.14101,11.8682,0.196341
2.82811,2.13038,11.7679,0.58071
2.81989,2.12005,11.6647,0.285077
2.81506,2.10977,11.5605,0.170695
2.80161,2.09924,11.4574,0.447127
2.79437,2.08888,11.3525,0.252787
2.77363,2.07819,11.2494,0.636774
2.7652,2.06789,11.1428,0.292059
2.76027,2.05764,11.0351,0.174029
2.74674,2.04714,10.9288,0.449496
2.73945,2.03682,10.8206,0.254153
2.71864,2.02616,10.7143,0.638617
2.71285,2.01595,10.604,0.203405
2.69435,2.00541,10.4957,0.583169
2.68609,1.99519,10.3844,0.286537
2.68128,1.98502,10.2722,0.169871
2.66788,1.9746,10.1614,0.445718
2.66066,1.96435,10.0488,0.252028
2.63995,1.95376,9.93832,0.636248
2.63147,1.94357,9.82425,0.293449
2.62656,1.93344,9.70928,0.173301
2.61308,1.92305,9.59585,0.448259
2.60582,1.91284,9.48059,0.253387
2.58502,1.90229,9.36756,0.638086
2.57651,1.89214,9.25095,0.294716
2.57158,1.88205,9.13348,0.174153
2.55805,1.8717,9.01764,0.449418
2.55076,1.86154,8.89999,0.254176
2.52991,1.85104,8.78467,0.63946
2.52137,1.84093,8.66578,0.295643
2.51642,1.83088,8.54608,0.174718
2.50287,1.82059,8.42808,0.450233
2.49468,1.81045,8.30848,0.284078
2.47894,1.80012,8.19011,0.511398
2.47121,1.79003,8.06949,0.269063
2.45019,1.77962,7.95119,0.643124
2.44169,1.76962,7.82932,0.294347
2.43683,1.75968,7.7067,0.171652
2.42342,1.74949,7.58588,0.446098
2.41622,1.73947,7.4634,0.251423
2.39549,1.72912,7.3434,0.636595
2.38697,1.71917,7.21997,0.294786
2.3821,1.70928,7.09584,0.172145
2.36865,1.69914,6.97357,0.447013
2.36144,1.68917,6.84968,0.25189
2.34066,1.67888,6.72835,0.637598
2.33214,1.66898,6.60362,0.295222
2.32725,1.65915,6.47826,0.17238
2.31379,1.64906,6.3548,0.447504
2.30568,1.63914,6.22995,0.281603
2.29004,1.62903,6.10654,0.508945
2.27945,1.61909,5.98158,0.361021
2.27323,1.60927,5.85571,0.218225
2.25884,1.59921,5.73161,0.474221
2.2505,1.58935,5.60594,0.288835
2.23476,1.5793,5.48172,0.511604
2.2271,1.5695,5.35548,0.266518
2.2062,1.55937,5.23179,0.640559
2.19775,1.54966,5.10483,0.292562
2.193,1.54002,4.97737,0.167838
2.17973,1.53013,4.85192,0.441992
2.17177,1.52039,4.72524,0.276683
2.15632,1.51047,4.60011,0.503607
2.14587,1.50073,4.47363,0.356732
2.13979,1.49109,4.34639,0.21329
2.1256,1.48123,4.22101,0.468674
2.11741,1.47156,4.09426,0.284016
2.10186,1.4617,3.96906,0.506294
2.09141,1.45203,3.84253,0.356652
2.08536,1.44246,3.71532,0.212545
2.07119,1.43267,3.59,0.467929
2.06304,1.42308,3.46338,0.282927
2.04753,1.41329,3.33833,0.505325
2.04005,1.40376,3.21155,0.26068
2.01941,1.3939,3.08739,0.634303
2.01111,1.38447,2.96033,0.287932
2.00653,1.3751,2.83298,0.161832
1.99349,1.36548,2.70772,0.435294
1.98573,1.35602,2.58151,0.270123
1.97053,1.34637,2.45694,0.496641
1.96028,1.3369,2.3313,0.350402
1.95441,1.32755,2.20514,0.206385
1.94047,1.31796,2.08092,0.461287
1.9325,1.30857,1.95562,0.276958
1.91722,1.29899,1.83195,0.498792
1.907,1.2896,1.70725,0.349733
1.90116,1.28032,1.5821,0.205136
1.88727,1.27081,1.45891,0.459993
1.87935,1.2615,1.33471,0.275326
1.86413,1.252,1.21217,0.497223
1.85687,1.24275,1.08822,0.253131
1.8366,1.23318,0.966896,0.626035
1.8285,1.22403,0.843101,0.281277
1.82414,1.21495,0.719221,0.154187
1.81138,1.20562,0.597469,0.426879
1.80387,1.19645,0.475032,0.261724
1.789,1.18709,0.354309,0.487677
1.77902,1.17791,0.232804,0.341913
1.7734,1.16885,0.111023,0.197612
1.75979,1.15956,-0.00878882,0.45189
1.75209,1.15045,-0.129383,0.26795
